frame,bbox,detect_conf,sex_decfunc,sex_label
60,"(62, 117, 242, 297)",0.8643846,-2.6348331828597407,f
60,"(943, -36, 1141, 163)",0.6878154,8.580160831246651,m
61,"(322, 163, 498, 340)",0.99718493,-16.784417895033634,f
61,"(62, 118, 243, 299)",0.8830153,-5.285866787735749,f
61,"(732, 9, 933, 210)",0.87971354,-7.889072444255239,f
61,"(942, -36, 1142, 164)",0.67735326,8.432975942214256,m
62,"(324, 163, 497, 337)",0.99498945,-17.476170856516504,f
62,"(734, 9, 932, 207)",0.8837244,-7.648196202389347,f
62,"(60, 118, 243, 301)",0.88111085,-6.034278989582243,f
63,"(327, 163, 493, 329)",0.99564445,-16.814945273828904,f
63,"(735, 8, 930, 203)",0.91843694,-7.75633710469406,f
63,"(59, 117, 243, 301)",0.8796562,-2.4992176166530276,f
64,"(325, 161, 489, 325)",0.9935242,-21.258358557626146,f
64,"(736, 7, 931, 202)",0.94241506,-7.967324345017218,f
64,"(58, 117, 242, 301)",0.8657313,-1.6883839764293689,f
65,"(329, 163, 486, 319)",0.9928813,-20.37002960001217,f
65,"(735, 4, 933, 203)",0.91465247,-7.729264598751886,f
65,"(58, 117, 241, 300)",0.85936,-1.419836401890243,f
65,"(942, -35, 1142, 165)",0.659347,9.25188014119827,m
66,"(329, 162, 485, 318)",0.9933509,-19.224740609124694,f
66,"(734, 3, 933, 202)",0.91119015,-8.624962315461238,f
66,"(58, 117, 241, 300)",0.8441469,-5.185367319254421,f
66,"(941, -35, 1142, 166)",0.6678929,8.800645499817877,m
67,"(327, 163, 479, 315)",0.99269617,-14.853681807147982,f
67,"(734, 3, 932, 201)",0.9339058,-7.848617943477935,f
67,"(58, 117, 241, 300)",0.84194905,-3.431886322502096,f
67,"(941, -35, 1142, 166)",0.6654951,7.960849945198718,m
68,"(321, 161, 485, 324)",0.9800442,-10.309083903597983,f
68,"(734, 3, 930, 199)",0.93176234,-8.111894477227876,f
68,"(57, 117, 240, 300)",0.89276737,-4.974080148465125,f
68,"(941, -36, 1142, 165)",0.66834867,7.994745815301011,m
69,"(316, 156, 488, 328)",0.96623135,-5.682751426149499,f
69,"(734, 3, 929, 198)",0.935863,-6.7378312145127675,f
69,"(58, 118, 240, 300)",0.9126806,-4.153392765232974,f
69,"(943, -35, 1142, 165)",0.6694615,7.957208514332517,m
70,"(320, 158, 489, 326)",0.9825935,-9.246646313023838,f
70,"(60, 119, 241, 299)",0.9426057,-4.746770896242195,f
70,"(735, 3, 929, 197)",0.9406746,-7.039204425239393,f
70,"(945, -34, 1143, 164)",0.67745197,7.446926450370433,m
71,"(326, 161, 486, 321)",0.9931503,-11.123344742266477,f
71,"(63, 122, 240, 299)",0.94795144,-4.741353751455737,f
71,"(735, 2, 930, 198)",0.9464776,-6.914747519320966,f
71,"(946, -33, 1142, 163)",0.73058957,8.389673955055862,m
72,"(329, 160, 485, 316)",0.99419045,-23.003214188050293,f
72,"(734, 2, 932, 199)",0.94864374,-7.755808124068627,f
72,"(63, 117, 254, 307)",0.86144406,-5.983844407452587,f
72,"(947, -33, 1141, 161)",0.7766133,8.31153356277254,m
73,"(332, 160, 489, 317)",0.9950216,-22.681264865261085,f
73,"(734, 3, 932, 201)",0.9429035,-8.278795088574414,f
73,"(65, 116, 260, 311)",0.81291884,-4.5765203931378995,f
73,"(945, -34, 1139, 160)",0.80984074,9.031027897435138,m
74,"(329, 158, 497, 326)",0.9927031,-20.103364691611908,f
74,"(733, 3, 932, 203)",0.9149869,-7.08094811668028,f
74,"(945, -36, 1139, 158)",0.8185299,9.732403034635029,m
74,"(67, 116, 260, 310)",0.76053005,-3.690332827835292,f
75,"(328, 159, 501, 332)",0.9942983,-18.979298831321202,f
75,"(733, 7, 928, 202)",0.9318055,-6.7447622074779,f
75,"(945, -35, 1136, 156)",0.820708,9.48652549549782,m
75,"(65, 114, 261, 310)",0.7799842,-6.539803118470946,f
76,"(326, 160, 504, 338)",0.9947766,-17.41059344536506,f
76,"(734, 11, 922, 199)",0.9663172,-6.941882651530085,f
76,"(62, 115, 255, 308)",0.8828133,-3.250650030003292,f
76,"(944, -35, 1132, 154)",0.8180989,9.424371048630562,m
