frame,bb,face_id,face_detect_conf,tracking_conf,sex_label,sex_decision_function,avg_sex_decision_function,avg_sex_label
59,"(64, 110, 273, 318)",0,,21.021,f,-9.252,-9.679,f
59,"(948, -7, 1122, 165)",1,,27.974,m,11.321,11.401,m
59,"(730, 13, 924, 207)",2,,25.878,f,-7.657,-6.520,f
59,"(562, 199, 739, 376)",3,,13.525,m,12.800,16.904,m
59,"(323, 165, 493, 334)",4,,26.358,f,-18.643,-15.173,f
60,"(59, 108, 273, 322)",0,0.998,19.884,f,-9.906,-9.679,f
60,"(944, -7, 1124, 172)",1,0.974,21.470,m,9.195,11.401,m
60,"(735, 14, 924, 203)",2,0.945,23.931,f,-8.104,-6.520,f
60,"(564, 196, 741, 373)",3,0.808,10.704,m,9.707,16.904,m
61,"(56, 109, 268, 321)",0,,19.401,f,-10.833,-9.679,f
61,"(944, -7, 1125, 173)",1,,28.119,m,10.438,11.401,m
61,"(736, 10, 930, 204)",2,,21.524,f,-8.851,-6.520,f
61,"(565, 196, 739, 371)",3,,16.100,m,9.176,16.904,m
62,"(59, 109, 272, 322)",0,,26.684,f,-9.955,-9.679,f
62,"(945, -6, 1125, 173)",1,,28.175,m,11.326,11.401,m
62,"(736, 11, 925, 200)",2,,26.185,f,-7.835,-6.520,f
62,"(565, 195, 738, 368)",3,,8.717,m,2.668,16.904,m
63,"(56, 110, 267, 321)",0,,18.891,f,-9.755,-9.679,f
63,"(944, -6, 1125, 173)",1,,25.735,m,11.383,11.401,m
63,"(736, 9, 924, 197)",2,,25.754,f,-7.734,-6.520,f
64,"(64, 111, 273, 320)",0,,19.880,f,-9.519,-9.679,f
64,"(944, -6, 1125, 173)",1,,25.539,m,10.226,11.401,m
64,"(736, 8, 924, 195)",2,,25.846,f,-7.759,-6.520,f
65,"(54, 110, 271, 327)",0,0.998,25.090,f,-11.015,-9.679,f
65,"(945, -7, 1127, 174)",1,0.982,26.012,m,9.684,11.401,m
65,"(734, 4, 926, 197)",2,0.924,20.151,f,-7.974,-6.520,f
65,"(330, 166, 483, 318)",5,0.666,,f,-21.225,-15.096,f
66,"(52, 112, 266, 326)",0,,19.380,f,-11.027,-9.679,f
